                time     magnetic_energy     mhd_enstrophy_j mhd_enstrophy_gradb     mhd_dissipation                Jmax
  0.100000000000E-01  0.199804144331E+01  0.499399239420E+01  0.499380547202E+01  0.199752218881E+00  0.720025441538E+00
  0.200000000000E-01  0.199616656610E+01  0.498897978995E+01  0.498883415406E+01  0.199553366162E+00  0.721859686079E+00
  0.300000000000E-01  0.199437756092E+01  0.498523148230E+01  0.498512909042E+01  0.199405163617E+00  0.725530008643E+00
  0.400000000000E-01  0.199267791237E+01  0.498282154365E+01  0.498276540459E+01  0.199310616183E+00  0.731037452310E+00
  0.500000000000E-01  0.199107232743E+01  0.498185497407E+01  0.498184910490E+01  0.199273964196E+00  0.738386397779E+00
  0.600000000000E-01  0.198956665433E+01  0.498246632665E+01  0.498251570375E+01  0.199300628150E+00  0.747584232137E+00
  0.700000000000E-01  0.198816779115E+01  0.498481815886E+01  0.498492866358E+01  0.199397146543E+00  0.758640941444E+00
  0.800000000000E-01  0.198688358543E+01  0.498909932940E+01  0.498927768881E+01  0.199571107553E+00  0.771568627143E+00
  0.900000000000E-01  0.198572272619E+01  0.499552316133E+01  0.499577688499E+01  0.199831075400E+00  0.786380946499E+00
  0.100000000000E+00  0.198469462970E+01  0.500432549405E+01  0.500466280741E+01  0.200186512296E+00  0.803092477587E+00
  0.110000000000E+00  0.198380932054E+01  0.501576264648E+01  0.501619242170E+01  0.200647696868E+00  0.821718009957E+00
  0.120000000000E+00  0.198307730929E+01  0.503010931370E+01  0.503064099867E+01  0.201225639947E+00  0.842271762949E+00
  0.130000000000E+00  0.198250946832E+01  0.504765641828E+01  0.504829996446E+01  0.201931998578E+00  0.864766534732E+00
  0.140000000000E+00  0.198211690701E+01  0.506870893590E+01  0.506947472558E+01  0.202778989023E+00  0.889212786513E+00
  0.150000000000E+00  0.198191084753E+01  0.509358371301E+01  0.509448248663E+01  0.203779299465E+00  0.915617668009E+00
  0.160000000000E+00  0.198190250259E+01  0.512260729194E+01  0.512365007590E+01  0.204946003036E+00  0.943983992174E+00
  0.170000000000E+00  0.198210295596E+01  0.515611375652E+01  0.515731179182E+01  0.206292471673E+00  0.974309169226E+00
  0.180000000000E+00  0.198252304691E+01  0.519444260845E+01  0.519580728055E+01  0.207832291222E+00  0.100658411234E+01
  0.190000000000E+00  0.198317325946E+01  0.523793668205E+01  0.523947945207E+01  0.209579178083E+00  0.104079212963E+01
  0.200000000000E+00  0.198406361706E+01  0.528694010219E+01  0.528867243963E+01  0.211546897585E+00  0.107690781945E+01
  0.210000000000E+00  0.198520358357E+01  0.534179628717E+01  0.534372960411E+01  0.213749184164E+00  0.111489598830E+01
  0.220000000000E+00  0.198660197108E+01  0.540284599550E+01  0.540499158219E+01  0.216199663288E+00  0.115471061255E+01
  0.230000000000E+00  0.198826685513E+01  0.547042541216E+01  0.547279437384E+01  0.218911774954E+00  0.119629386701E+01
  0.240000000000E+00  0.199020549780E+01  0.554486426674E+01  0.554746746136E+01  0.221898698454E+00  0.123957524467E+01
  0.250000000000E+00  0.199242427907E+01  0.562648397245E+01  0.562933194878E+01  0.225173277951E+00  0.128447079248E+01
  0.260000000000E+00  0.199492863684E+01  0.571559577094E+01  0.571869870670E+01  0.228747948268E+00  0.133088248822E+01
  0.270000000000E+00  0.199772301584E+01  0.581249886467E+01  0.581586650374E+01  0.232634660150E+00  0.137869778278E+01
  0.280000000000E+00  0.200081082571E+01  0.591747851409E+01  0.592112010223E+01  0.236844804089E+00  0.142778933075E+01
  0.290000000000E+00  0.200419440831E+01  0.603080407372E+01  0.603472829169E+01  0.241389131668E+00  0.147801492969E+01
  0.300000000000E+00  0.200787501442E+01  0.615272693769E+01  0.615694183087E+01  0.246277673235E+00  0.152921768562E+01
  0.310000000000E+00  0.201185278984E+01  0.628347836276E+01  0.628799126605E+01  0.251519650642E+00  0.158122641811E+01
  0.320000000000E+00  0.201612677069E+01  0.642326713532E+01  0.642808459232E+01  0.257123383693E+00  0.163385631395E+01
  0.330000000000E+00  0.202069488793E+01  0.657227704907E+01  0.657740472436E+01  0.263096188975E+00  0.168690983294E+01
  0.340000000000E+00  0.202555398067E+01  0.673066416198E+01  0.673610674557E+01  0.269444269823E+00  0.174017786400E+01
  0.350000000000E+00  0.203069981811E+01  0.689855380590E+01  0.690431490900E+01  0.276172596360E+00  0.179344112363E+01
  0.360000000000E+00  0.203612712958E+01  0.707603732961E+01  0.708211937138E+01  0.283284774855E+00  0.184647178291E+01
  0.370000000000E+00  0.204182964226E+01  0.726316856702E+01  0.726957265213E+01  0.290782906085E+00  0.190424031750E+01
