                time      kinetic_energy    dissipation_rate  dissipation_rate_2           enstrophy       enstrophy_max
  0.100000000000E-01  0.199915980912E+01  0.800238582964E-01  0.800238583475E-01  0.200059645741E+01  0.799680042767E+01
  0.200000000000E-01  0.199823737839E+01  0.801586728972E-01  0.801586729550E-01  0.200396682243E+01  0.799360086974E+01
  0.300000000000E-01  0.199722891605E+01  0.804029322460E-01  0.804029323150E-01  0.201007330615E+01  0.799040009277E+01
  0.400000000000E-01  0.199612933214E+01  0.807546460494E-01  0.807546461344E-01  0.201886615123E+01  0.798719691608E+01
  0.500000000000E-01  0.199493230024E+01  0.812113716262E-01  0.812113717320E-01  0.203028429065E+01  0.798399023001E+01
  0.600000000000E-01  0.199363033088E+01  0.817702471461E-01  0.817702472780E-01  0.204425617865E+01  0.798077901462E+01
  0.700000000000E-01  0.199221485544E+01  0.824280309280E-01  0.824280310920E-01  0.206070077320E+01  0.797756235897E+01
  0.800000000000E-01  0.199067631928E+01  0.831811458646E-01  0.831811460674E-01  0.207952864662E+01  0.797433948082E+01
  0.900000000000E-01  0.198900428271E+01  0.840257279743E-01  0.840257282242E-01  0.210064319936E+01  0.797343349727E+01
  0.100000000000E+00  0.198718752843E+01  0.849576780434E-01  0.849576783504E-01  0.212394195108E+01  0.801706679361E+01
  0.110000000000E+00  0.198521417404E+01  0.859727153176E-01  0.859727156946E-01  0.214931788294E+01  0.811033500651E+01
  0.120000000000E+00  0.198307178808E+01  0.870664322288E-01  0.870664326921E-01  0.217666080572E+01  0.823585063393E+01
  0.130000000000E+00  0.198074750835E+01  0.882343491900E-01  0.882343497609E-01  0.220585872975E+01  0.838988991411E+01
  0.140000000000E+00  0.197822816120E+01  0.894719685687E-01  0.894719692753E-01  0.223679921422E+01  0.857004451883E+01
  0.150000000000E+00  0.197550038035E+01  0.907748270316E-01  0.907748279105E-01  0.226937067579E+01  0.877111365023E+01
  0.160000000000E+00  0.197255072444E+01  0.921385455554E-01  0.921385466550E-01  0.230346363889E+01  0.898037600835E+01
  0.170000000000E+00  0.196936579188E+01  0.935588764987E-01  0.935588778826E-01  0.233897191247E+01  0.920602278326E+01
  0.180000000000E+00  0.196593233234E+01  0.950317472363E-01  0.950317489887E-01  0.237579368091E+01  0.944311395654E+01
