y           u_ha6
0.0         0.0
0.005555778 0.02621313
0.01111741  0.05159312
0.01669077  0.07619104
0.02228177  0.1000541
0.02789642  0.1232258
0.03354079  0.1457465
0.03922108  0.1676535
0.04494364  0.1889812
0.05071499  0.2097618
0.05654183  0.2300248
0.06243112  0.2497975
0.06839004  0.2691054
0.0744261   0.287972
0.08054711  0.3064189
0.08676127  0.3244662
0.09307716  0.3421323
0.09950383  0.359434
0.1060508   0.3763869
0.1127283   0.393005
0.1195469   0.409301
0.1265181   0.4252866
0.1336539   0.4409717
0.1409674   0.4563654
0.1484725   0.4714753
0.1561839   0.486308
0.1641176   0.5008686
0.1722909   0.5151613
0.1807222   0.5291887
0.1894314   0.5429524
0.1984403   0.5564525
0.207772    0.5696879
0.217452    0.5826561
0.2275077   0.5953531
0.2379689   0.6077738
0.248868    0.6199111
0.2602404   0.6317569
0.2721244   0.6433014
0.2845617   0.6545333
0.2975979   0.6654397
0.3112823   0.6760064
0.3256687   0.6862179
0.3408153   0.6960572
0.3567852   0.7055064
0.3736465   0.7145468
0.3914721   0.7231592
0.4103402   0.7313243
0.4303337   0.7390232
0.4515392   0.7462381
0.4740471   0.7529529
0.4979488   0.7591543
0.5233358   0.7648322
0.5502956   0.7699808
0.5789086   0.7745996
0.6092429   0.7786938
0.6413478   0.7822747
0.6752473   0.7853601
0.7109319   0.7879735
0.748351    0.7901435
0.7874057   0.7919018
0.8279433   0.7932816
0.8697555   0.7943149
0.9125805   0.7950302
0.9561096   0.7954498
1.0         0.7955881
1.04389     0.7954498
1.08742     0.7950302
1.130244    0.7943149
1.172057    0.7932816
1.212594    0.7919018
1.251649    0.7901435
1.289068    0.7879735
1.324753    0.7853601
1.358652    0.7822747
1.390757    0.7786938
1.421091    0.7745996
1.449704    0.7699808
1.476664    0.7648322
1.502051    0.7591543
1.525953    0.7529529
1.548461    0.7462381
1.569666    0.7390232
1.58966     0.7313243
1.608528    0.7231592
1.626354    0.7145468
1.643215    0.7055064
1.659185    0.6960572
1.674331    0.6862179
1.688718    0.6760064
1.702402    0.6654397
1.715438    0.6545333
1.727876    0.6433014
1.73976     0.6317569
1.751132    0.6199111
1.762031    0.6077738
1.772492    0.5953531
1.782548    0.5826561
1.792228    0.5696879
1.80156     0.5564525
1.810569    0.5429524
1.819278    0.5291887
1.827709    0.5151613
1.835882    0.5008686
1.843816    0.486308
1.851528    0.4714753
1.859033    0.4563654
1.866346    0.4409717
1.873482    0.4252866
1.880453    0.409301
1.887272    0.393005
1.893949    0.3763869
1.900496    0.359434
1.906923    0.3421323
1.913239    0.3244662
1.919453    0.3064189
1.925574    0.287972
1.93161     0.2691054
1.937569    0.2497975
1.943458    0.2300248
1.949285    0.2097618
1.955056    0.1889812
1.960779    0.1676535
1.966459    0.1457465
1.972104    0.1232258
1.977718    0.1000541
1.983309    0.07619104
1.988883    0.05159312
1.994444    0.02621313
2.0         0.0
