  itime          time                   Ek                   Em          enstrophykm          dissipation                 Jmax
      1  0.100000E-03  0.1999991996016E+01  0.1999980004135E+01  0.4999954690133E+01  0.7999944000302E-01  0.5999976169004E+01
      2  0.200000E-03  0.1999983984062E+01  0.1999960016543E+01  0.4999886831339E+01  0.7999888001209E-01  0.5999941065296E+01
      3  0.300000E-03  0.1999975964136E+01  0.1999940037223E+01  0.4999819093575E+01  0.7999832002718E-01  0.5999906729819E+01
      4  0.400000E-03  0.1999967936237E+01  0.1999920066175E+01  0.4999751476833E+01  0.7999776004825E-01  0.5999873162552E+01
      5  0.500000E-03  0.1999959900363E+01  0.1999900103401E+01  0.4999683981109E+01  0.7999720007527E-01  0.5999840363475E+01
      6  0.600000E-03  0.1999951856512E+01  0.1999880148899E+01  0.4999616606397E+01  0.7999664010821E-01  0.5999808332568E+01
      7  0.700000E-03  0.1999943804682E+01  0.1999860202670E+01  0.4999549352693E+01  0.7999608014704E-01  0.5999777069809E+01
      8  0.800000E-03  0.1999935744871E+01  0.1999840264715E+01  0.4999482219990E+01  0.7999552019172E-01  0.5999746575178E+01
      9  0.900000E-03  0.1999927677078E+01  0.1999820335033E+01  0.4999415208286E+01  0.7999496024223E-01  0.5999716848654E+01
     10  0.100000E-02  0.1999919601301E+01  0.1999800413626E+01  0.4999348317576E+01  0.7999440029853E-01  0.5999687890216E+01
     11  0.110000E-02  0.1999911517537E+01  0.1999780500492E+01  0.4999281547856E+01  0.7999384036059E-01  0.5999659699842E+01
     12  0.120000E-02  0.1999903425785E+01  0.1999760595634E+01  0.4999214899124E+01  0.7999328042837E-01  0.5999632277512E+01
     13  0.130000E-02  0.1999895326043E+01  0.1999740699050E+01  0.4999148371375E+01  0.7999272050185E-01  0.5999605623204E+01
     14  0.140000E-02  0.1999887218309E+01  0.1999720810741E+01  0.4999081964608E+01  0.7999216058099E-01  0.5999579736896E+01
     15  0.150000E-02  0.1999879102581E+01  0.1999700930708E+01  0.4999015678820E+01  0.7999160066577E-01  0.5999554618567E+01
     16  0.160000E-02  0.1999870978856E+01  0.1999681058951E+01  0.4998949514009E+01  0.7999104075614E-01  0.5999530268194E+01
     17  0.170000E-02  0.1999862847134E+01  0.1999661195470E+01  0.4998883470174E+01  0.7999048085208E-01  0.5999506685756E+01
     18  0.180000E-02  0.1999854707412E+01  0.1999641340265E+01  0.4998817547313E+01  0.7998992095356E-01  0.5999483871231E+01
     19  0.190000E-02  0.1999846559689E+01  0.1999621493338E+01  0.4998751745425E+01  0.7998936106054E-01  0.5999461824596E+01
     20  0.200000E-02  0.1999838403961E+01  0.1999601654688E+01  0.4998686064510E+01  0.7998880117298E-01  0.5999440545829E+01
     21  0.210000E-02  0.1999830240227E+01  0.1999581824317E+01  0.4998620504567E+01  0.7998824129087E-01  0.5999420034907E+01
     22  0.220000E-02  0.1999822068485E+01  0.1999562002223E+01  0.4998555065597E+01  0.7998768141416E-01  0.5999400291808E+01
     23  0.230000E-02  0.1999813888733E+01  0.1999542188408E+01  0.4998489747599E+01  0.7998712154283E-01  0.5999381316509E+01
     24  0.240000E-02  0.1999805700969E+01  0.1999522382873E+01  0.4998424550575E+01  0.7998656167684E-01  0.5999363108987E+01
     25  0.250000E-02  0.1999797505191E+01  0.1999502585617E+01  0.4998359474526E+01  0.7998600181616E-01  0.5999345669219E+01
     26  0.260000E-02  0.1999789301396E+01  0.1999482796642E+01  0.4998294519452E+01  0.7998544196076E-01  0.5999328997181E+01
     27  0.270000E-02  0.1999781089583E+01  0.1999463015947E+01  0.4998229685356E+01  0.7998488211061E-01  0.5999313092851E+01
     28  0.280000E-02  0.1999772869750E+01  0.1999443243534E+01  0.4998164972240E+01  0.7998432226567E-01  0.5999297956205E+01
     29  0.290000E-02  0.1999764641893E+01  0.1999423479402E+01  0.4998100380106E+01  0.7998376242591E-01  0.5999283587219E+01
     30  0.300000E-02  0.1999756406012E+01  0.1999403723553E+01  0.4998035908957E+01  0.7998320259131E-01  0.5999269985869E+01
     31  0.310000E-02  0.1999748162104E+01  0.1999383975987E+01  0.4997971558796E+01  0.7998264276182E-01  0.5999257152133E+01
     32  0.320000E-02  0.1999739910167E+01  0.1999364236704E+01  0.4997907329626E+01  0.7998208293742E-01  0.5999245085985E+01
     33  0.330000E-02  0.1999731650198E+01  0.1999344505706E+01  0.4997843221452E+01  0.7998152311807E-01  0.5999233787401E+01
     34  0.340000E-02  0.1999723382195E+01  0.1999324782992E+01  0.4997779234276E+01  0.7998096330374E-01  0.5999223256357E+01
     35  0.350000E-02  0.1999715106157E+01  0.1999305068563E+01  0.4997715368105E+01  0.7998040349441E-01  0.5999213492830E+01
     36  0.360000E-02  0.1999706822081E+01  0.1999285362421E+01  0.4997651622942E+01  0.7997984369003E-01  0.5999204496793E+01
     37  0.370000E-02  0.1999698529964E+01  0.1999265664565E+01  0.4997587998793E+01  0.7997928389058E-01  0.5999196268224E+01
     38  0.380000E-02  0.1999690229805E+01  0.1999245974996E+01  0.4997524495662E+01  0.7997872409602E-01  0.5999188807096E+01
     39  0.390000E-02  0.1999681921601E+01  0.1999226293715E+01  0.4997461113556E+01  0.7997816430632E-01  0.5999182113385E+01
     40  0.400000E-02  0.1999673605350E+01  0.1999206620723E+01  0.4997397852482E+01  0.7997760452146E-01  0.5999176187065E+01
     41  0.410000E-02  0.1999665281049E+01  0.1999186956021E+01  0.4997334712444E+01  0.7997704474139E-01  0.5999171028112E+01
     42  0.420000E-02  0.1999656948697E+01  0.1999167299608E+01  0.4997271693451E+01  0.7997648496609E-01  0.5999166636501E+01
     43  0.430000E-02  0.1999648608290E+01  0.1999147651486E+01  0.4997208795509E+01  0.7997592519552E-01  0.5999163012205E+01
     44  0.440000E-02  0.1999640259827E+01  0.1999128011656E+01  0.4997146018625E+01  0.7997536542966E-01  0.5999160155199E+01
     45  0.450000E-02  0.1999631903305E+01  0.1999108380118E+01  0.4997083362808E+01  0.7997480566846E-01  0.5999158065457E+01
     46  0.460000E-02  0.1999623538722E+01  0.1999088756873E+01  0.4997020828066E+01  0.7997424591191E-01  0.5999156742954E+01
     47  0.470000E-02  0.1999615166076E+01  0.1999069141922E+01  0.4996958414407E+01  0.7997368615996E-01  0.5999156187663E+01
     48  0.480000E-02  0.1999606785363E+01  0.1999049535266E+01  0.4996896121840E+01  0.7997312641258E-01  0.5999156399559E+01
     49  0.490000E-02  0.1999598396582E+01  0.1999029936905E+01  0.4996833950373E+01  0.7997256666974E-01  0.5999157378615E+01
     50  0.500000E-02  0.1999589999730E+01  0.1999010346841E+01  0.4996771900017E+01  0.7997200693142E-01  0.5999159124804E+01
     51  0.510000E-02  0.1999581594805E+01  0.1998990765073E+01  0.4996709970782E+01  0.7997144719757E-01  0.5999161638100E+01
     52  0.520000E-02  0.1999573181805E+01  0.1998971191604E+01  0.4996648162676E+01  0.7997088746817E-01  0.5999164918476E+01
     53  0.530000E-02  0.1999564760726E+01  0.1998951626433E+01  0.4996586475712E+01  0.7997032774318E-01  0.5999168965906E+01
     54  0.540000E-02  0.1999556331566E+01  0.1998932069563E+01  0.4996524909899E+01  0.7996976802258E-01  0.5999173780363E+01
