                   t              thetad               theta               delta            tau_wall               u_tau                  cf                 dx+                 dz+             dy+_min             dy+_max
  0.250000000000E+00  0.525436175963E+00  0.872671986733E+00  0.210696961430E+01  0.298217443237E+00  0.104135827952E-01  0.216885413263E-03  0.178983454292E+02  0.119322302861E+02  0.857923355541E+00  0.364465634233E+02
  0.500000000000E+00  0.463043222167E+00  0.771248753998E+00  0.186211721047E+01  0.339742469272E+00  0.111149771074E-01  0.247085432198E-03  0.191038669034E+02  0.127359112689E+02  0.915707748655E+00  0.389013777547E+02
  0.750000000000E+00  0.401791128015E+00  0.692261902760E+00  0.167142640196E+01  0.379218055258E+00  0.117429755445E-01  0.275794949279E-03  0.201832392171E+02  0.134554928114E+02  0.967445420214E+00  0.410993134045E+02
  0.100000000000E+01  0.343464446281E+00  0.630748463919E+00  0.152291603613E+01  0.416561615772E+00  0.123075972956E-01  0.302953902380E-03  0.211536828518E+02  0.141024552345E+02  0.101396180144E+01  0.430754365952E+02
  0.125000000000E+01  0.289511632742E+00  0.582839446132E+00  0.140725165932E+01  0.451182192351E+00  0.128088349105E-01  0.328132503528E-03  0.220151850024E+02  0.146767900016E+02  0.105525627857E+01  0.448297212522E+02
  0.150000000000E+01  0.240923269440E+00  0.545515941232E+00  0.131715880316E+01  0.482355688195E+00  0.132439445950E-01  0.350804136869E-03  0.227630297726E+02  0.151753531817E+02  0.109110280400E+01  0.463525643527E+02
  0.175000000000E+01  0.198227064166E+00  0.516460189079E+00  0.124700473610E+01  0.509717287238E+00  0.136143946180E-01  0.370703481627E-03  0.233997407496E+02  0.155998271664E+02  0.112162234114E+01  0.476491047005E+02
  0.200000000000E+01  0.161502454330E+00  0.493844309035E+00  0.119237807511E+01  0.533253904104E+00  0.139251754238E-01  0.387821021166E-03  0.239338952596E+02  0.159559301731E+02  0.114722602788E+01  0.487368083825E+02
  0.225000000000E+01  0.130481990015E+00  0.476231241955E+00  0.114983108950E+01  0.553187917877E+00  0.141830618297E-01  0.402318485729E-03  0.243771375198E+02  0.162514250132E+02  0.116847200777E+01  0.496393866242E+02
  0.250000000000E+01  0.104684260099E+00  0.462515412304E+00  0.111669295290E+01  0.569862231870E+00  0.143952294101E-01  0.414445259542E-03  0.247418005487E+02  0.164945336991E+02  0.118595144076E+01  0.503819532634E+02
  0.275000000000E+01  0.835065871826E-01  0.451836115151E+00  0.109088373460E+01  0.583668495293E+00  0.145685651043E-01  0.424486178395E-03  0.250397212730E+02  0.166931475153E+02  0.120023170753E+01  0.509886119411E+02
  0.300000000000E+01  0.663055645789E-01  0.443521958005E+00  0.107078247009E+01  0.595006850115E+00  0.147093890871E-01  0.432732254629E-03  0.252817624934E+02  0.168545083289E+02  0.121183349590E+01  0.514814826775E+02
  0.325000000000E+01  0.524551327898E-01  0.437050437349E+00  0.105512710082E+01  0.604261256301E+00  0.148233385554E-01  0.439462731855E-03  0.254776131421E+02  0.169850754281E+02  0.122122122654E+01  0.518802951329E+02
  0.350000000000E+01  0.413804280466E-01  0.432014559509E+00  0.104293461391E+01  0.611783794831E+00  0.149153221381E-01  0.444933668968E-03  0.256357099249E+02  0.170904732833E+02  0.122879929698E+01  0.522022290483E+02
  0.375000000000E+01  0.325745492506E-01  0.428097067574E+00  0.103343912794E+01  0.617886044088E+00  0.149895241490E-01  0.449371668428E-03  0.257632446311E+02  0.171754964207E+02  0.123491243205E+01  0.524619291293E+02
  0.400000000000E+01  0.256036829157E-01  0.425050716169E+00  0.102604401988E+01  0.622836124970E+00  0.150494472864E-01  0.452971727251E-03  0.258662375235E+02  0.172441583490E+02  0.123984920166E+01  0.526716544918E+02
  0.425000000000E+01  0.201047517636E-01  0.422682909461E+00  0.102028462002E+01  0.626859738665E+00  0.150979798608E-01  0.455897991756E-03  0.259496528858E+02  0.172997685905E+02  0.124384755937E+01  0.528415139521E+02
  0.450000000000E+01  0.157789209962E-01  0.420843661071E+00  0.101579907014E+01  0.630143620770E+00  0.151374745194E-01  0.458286269651E-03  0.260175343302E+02  0.173450228868E+02  0.124710132810E+01  0.529797415541E+02
  0.475000000000E+01  0.123833223936E-01  0.419416174872E+00  0.101230558269E+01  0.632840184187E+00  0.151698287182E-01  0.460247406681E-03  0.260731431095E+02  0.173820954063E+02  0.124976682982E+01  0.530929782166E+02
